lands,mana_rocks,land_ramp,immediate_draw,per_turn_draw,on_cast_draw,curve,actual_curve,total_mana_spent,ramp_mana_spent,draw_mana_spent,nonramp_nondraw_mana_spent,high_cmc_mana_spent,cmc_0,cmc_1,cmc_2,cmc_3,cmc_4,cmc_5,cmc_6,cmc_7,cmc_8plus
33,0,12,12,2,0,3.5,3.1791044776119404,73.684,10.745,14.142,48.797,9.541,0,5,17,21,14,6,3,1,0
31,1,16,12,0,1,3.0,3.0,73.521,14.717,14.129,44.675,7.932,0,6,17,28,11,4,2,1,0
35,3,2,12,3,1,2.5,2.753846153846154,73.344,3.076,19.965,50.303,8.388,0,9,26,12,11,4,3,0,0
42,1,12,6,3,1,3.5,3.0,73.26,13.243,8.695,51.322,8.528,0,5,16,22,8,4,2,1,0
37,0,16,6,2,1,3.0,2.857142857142857,73.218,17.351,7.127,48.74,5.334,0,5,17,30,6,3,2,0,0
33,2,8,12,1,1,3.5,3.1492537313432836,73.101,7.266,14.429,51.406,9.782,0,6,18,18,15,6,3,1,0
35,2,16,14,0,0,3.0,2.9692307692307693,73.07,17.284,17.042,38.744,4.866,0,6,17,25,9,6,2,0,0
35,0,10,12,2,0,3.5,3.1846153846153844,73.022,8.642,14.219,50.161,9.625,0,5,17,19,14,6,3,1,0
29,2,16,12,2,0,2.5,2.7464788732394365,72.942,17.235,15.243,40.464,4.764,0,8,26,21,10,4,2,0,0
33,0,12,10,2,1,2.5,2.701492537313433,72.918,12.61,14.04,46.268,5.514,0,8,26,18,10,3,2,0,0
40,3,12,6,3,1,3.5,2.966666666666667,72.885,14.376,8.51,49.999,8.336,0,5,18,22,8,4,2,1,0
38,2,6,12,1,1,3.5,3.129032258064516,72.871,5.454,15.033,52.384,10.221,0,6,18,14,15,5,3,1,0
33,1,14,10,3,0,3.5,3.0597014925373136,72.819,13.23,12.103,47.486,9.41,0,6,17,24,12,4,3,1,0
35,0,14,10,1,1,3.0,2.9692307692307693,72.814,13.496,11.929,47.389,7.966,0,5,18,26,10,3,2,1,0
33,3,16,12,1,0,3.5,3.0597014925373136,72.811,16.934,12.941,42.936,6.999,0,5,18,24,12,5,2,1,0
30,3,16,10,1,1,3.0,2.914285714285714,72.808,16.247,11.476,45.085,8.154,0,6,20,28,10,3,2,1,0
30,1,14,12,2,0,3.5,3.142857142857143,72.703,12.32,13.392,46.991,8.931,0,6,17,23,14,6,3,1,0
33,1,14,14,0,0,3.5,3.1791044776119404,72.585,13.224,15.474,43.887,9.113,0,6,16,21,13,7,3,1,0
35,3,18,6,1,1,3.0,2.830769230769231,72.476,21.784,5.891,44.801,5.022,0,6,19,27,8,3,2,0,0
39,3,4,14,1,1,2.5,2.80327868852459,72.399,5.004,21.698,45.697,5.814,0,8,25,9,11,6,2,0,0
32,0,10,14,0,1,2.5,2.8088235294117645,72.325,9.435,19.062,43.828,5.184,0,8,26,15,11,6,2,0,0
28,2,16,8,3,1,2.5,2.6527777777777777,72.264,17.759,11.034,43.471,5.13,0,9,27,23,8,3,2,0,0
33,2,2,12,3,1,3.0,3.0597014925373136,72.241,2.285,17.438,52.518,9.987,0,7,17,22,12,5,3,1,0
37,3,4,14,2,0,3.0,3.015873015873016,72.204,4.718,19.21,48.276,7.7,0,6,19,19,10,6,2,1,0
42,0,18,6,1,1,3.0,2.8793103448275863,72.193,21.863,6.509,43.821,5.25,0,4,16,27,7,2,2,0,0
29,3,8,14,3,0,2.5,2.732394366197183,72.15,8.834,20.473,42.843,5.046,0,9,29,15,10,6,2,0,0
40,3,12,14,1,0,3.0,2.9,72.089,14.81,19.131,38.148,2.724,0,5,18,22,9,5,1,0,0
33,3,4,12,2,1,3.5,3.1194029850746268,72.05,4.272,15.773,52.005,9.956,0,7,19,15,16,6,3,1,0
40,2,10,14,1,0,3.0,2.95,71.871,11.206,19.095,41.57,5.082,0,6,18,19,9,6,2,0,0
41,1,2,10,3,1,3.5,3.1864406779661016,71.857,1.706,14.043,56.108,10.448,0,6,14,16,14,5,3,1,0
29,0,4,14,3,1,2.5,2.8732394366197185,71.843,2.552,21.344,47.947,7.836,0,9,26,14,12,7,3,0,0
32,1,4,14,1,1,3.5,3.2058823529411766,71.772,2.842,17.831,51.099,9.514,0,7,17,16,16,8,3,1,0
36,2,10,6,3,1,3.5,3.046875,71.726,9.91,7.914,53.902,9.736,0,6,18,21,10,5,3,1,0
30,1,12,12,3,0,2.5,2.7142857142857144,71.603,12.128,16.315,43.16,4.656,0,9,26,19,10,4,2,0,0
38,3,8,14,1,0,3.0,2.9516129032258065,71.469,9.086,18.771,43.612,4.992,0,6,19,19,10,6,2,0,0
38,0,2,12,2,1,3.0,3.064516129032258,71.451,1.39,16.914,53.147,8.026,0,6,16,20,12,5,2,1,0
32,1,4,12,2,1,3.5,3.1911764705882355,71.411,2.782,15.092,53.537,12.053,0,7,17,17,16,6,4,1,0
31,0,12,12,3,0,2.5,2.739130434782609,71.389,11.917,16.054,43.418,4.98,0,8,26,19,10,4,2,0,0
32,3,16,12,1,0,3.0,2.8970588235294117,71.339,17.483,13.325,40.531,4.638,0,6,19,27,10,4,2,0,0
38,3,6,10,3,1,2.5,2.661290322580645,71.28,7.427,16.249,47.604,5.586,0,8,27,12,10,3,2,0,0
37,0,8,14,1,0,3.0,3.0634920634920637,71.249,7.014,17.635,46.6,7.064,0,5,18,21,10,6,2,1,0
28,2,14,12,1,1,3.5,3.138888888888889,71.24,12.231,13.384,45.625,9.523,0,6,18,23,15,6,3,1,0
32,3,10,12,2,0,3.5,3.1176470588235294,71.237,10.16,13.625,47.452,9.364,0,6,19,19,14,6,3,1,0
38,2,2,12,3,1,2.5,2.725806451612903,71.186,2.679,20.024,48.483,5.514,0,9,24,12,11,4,2,0,0
33,1,2,12,3,1,2.5,2.8059701492537314,71.077,1.545,18.533,50.999,7.752,0,10,24,13,12,5,3,0,0
41,2,14,4,3,1,3.5,3.016949152542373,70.974,15.565,6.757,48.652,7.91,0,5,15,24,8,4,2,1,0
40,0,2,14,3,0,2.5,2.8333333333333335,70.948,1.538,22.387,47.023,5.244,0,8,22,12,10,6,2,0,0
36,2,6,12,1,1,3.0,2.953125,70.915,5.271,15.491,50.153,7.896,0,7,19,19,12,4,2,1,0
42,0,18,4,2,1,2.5,2.7241379310344827,70.912,23.014,6.513,41.385,5.67,0,6,21,20,7,2,2,0,0
30,1,8,12,3,0,3.0,3.0142857142857142,70.876,6.816,15.266,48.794,9.266,0,7,19,24,11,5,3,1,0
31,0,16,6,3,1,3.0,2.898550724637681,70.874,14.991,7.321,48.562,7.459,0,6,18,32,7,3,2,1,0
32,0,14,10,1,1,2.5,2.7058823529411766,70.815,14.444,12.109,44.262,5.244,0,8,26,19,10,3,2,0,0
38,0,6,8,3,1,3.5,3.129032258064516,70.781,4.239,10.553,55.989,10.221,0,5,17,19,12,5,3,1,0
30,0,18,12,1,0,2.5,2.8142857142857145,70.766,18.517,13.284,38.965,4.254,0,7,25,20,12,4,2,0,0
37,3,10,12,3,0,2.5,2.7142857142857144,70.746,12.345,17.515,40.886,5.238,0,8,25,15,9,4,2,0,0
34,0,2,14,3,0,2.5,2.893939393939394,70.721,1.348,20.077,49.296,7.248,0,9,23,13,11,7,3,0,0
32,3,12,12,0,1,3.5,3.1176470588235294,70.711,11.566,13.212,45.933,9.136,0,6,18,20,15,5,3,1,0
33,2,16,8,3,0,3.5,3.014925373134328,70.68,16.286,8.962,45.432,9.162,0,6,18,25,10,4,3,1,0
31,1,10,10,2,1,3.5,3.0869565217391304,70.646,8.408,11.688,50.55,9.637,0,7,18,20,15,5,3,1,0
41,3,18,8,3,0,3.5,2.9152542372881354,70.643,23.037,10.693,36.913,4.92,0,5,17,22,10,3,2,0,0
34,0,12,10,3,0,3.0,2.9545454545454546,70.622,11.169,12.309,47.144,7.144,0,5,18,28,9,3,2,1,0
40,3,18,12,1,0,2.5,2.7333333333333334,70.554,24.359,15.727,30.468,2.532,0,6,23,17,10,3,1,0,0
33,0,8,12,3,0,2.5,2.7611940298507465,70.531,7.264,16.712,46.555,7.368,0,8,27,15,10,4,3,0,0
33,3,6,14,0,1,3.0,3.014925373134328,70.434,5.985,17.923,46.526,7.365,0,7,19,20,12,6,2,1,0
31,1,2,12,3,1,3.0,3.0434782608695654,70.418,1.632,16.9,51.886,10.06,0,8,17,22,13,5,3,1,0
39,1,14,12,2,0,2.5,2.737704918032787,70.382,15.891,16.915,37.576,5.19,0,7,23,17,9,3,2,0,0
30,2,6,14,1,1,2.5,2.857142857142857,70.368,5.266,18.872,46.23,7.494,0,9,27,12,12,7,3,0,0
34,3,18,6,1,1,3.0,2.8333333333333335,70.313,20.613,5.581,44.119,4.704,0,6,19,28,8,3,2,0,0
42,1,14,6,2,1,3.5,3.0,70.287,15.159,7.276,47.852,7.993,0,5,16,22,8,4,2,1,0
