lands,ramp,rock_ramp,land_ramp,ramp_1,ramp_2,ramp_3,draw,immediate_draw,turn_draw,cast_draw,draw_1,draw_2,draw_3,value,value_cmc,curve,cmc_1,cmc_2,cmc_3,cmc_4,cmc_5,cmc_6,cmc_7+,total_mana_spent,ramp_mana_spent,draw_mana_spent,nonramp_nondraw_mana_spent,high_cmc_mana_spent,avg_commander_cast_turn,commander_cast_rate
28,11,10,1,8,2,1,23,19,2,2,12,2,3,34,3.235294117647059,2.753623188405797,19,17,14,11,4,2,3,101.094,10.476,26.188,64.43,15.106,3.704,1.0
29,11,10,1,8,2,1,22,18,2,2,11,3,2,34,3.235294117647059,2.75,18,17,15,11,3,2,3,100.14,11.336,24.384,64.42,15.022,3.654,1.0
29,11,10,1,8,2,1,22,18,2,2,12,2,2,34,3.235294117647059,2.735294117647059,19,17,14,10,4,2,3,98.48,10.49,23.592,64.398,15.308,3.672,1.0
30,10,9,1,7,2,1,22,18,2,2,10,3,3,34,3.235294117647059,2.8059701492537314,17,17,14,11,4,2,3,99.964,9.116,26.456,64.392,15.26,3.678,1.0
30,12,11,1,9,2,1,20,16,2,2,9,2,3,34,3.235294117647059,2.8358208955223883,17,18,14,11,4,2,3,100.804,11.262,25.15,64.392,15.206,3.56,1.0
29,11,10,1,8,2,1,22,18,2,2,10,3,3,34,3.235294117647059,2.7941176470588234,18,16,15,11,4,2,3,102.146,10.856,26.912,64.378,15.338,3.6412825651302607,0.998
31,11,10,1,8,2,1,20,16,2,2,8,3,3,34,3.235294117647059,2.8484848484848486,16,16,15,11,4,2,3,100.602,10.604,25.622,64.376,15.28,3.594,1.0
27,12,11,1,9,2,1,23,19,2,2,12,3,2,34,3.235294117647059,2.7142857142857144,19,18,15,11,3,2,3,101.054,11.504,25.174,64.376,14.886,3.7695390781563125,0.998
30,10,9,1,7,2,1,22,18,2,2,11,3,2,34,3.235294117647059,2.7611940298507465,18,16,15,11,3,2,3,99.08,10.132,24.578,64.37,15.024,3.508,1.0
28,12,11,1,9,2,1,22,18,2,2,10,3,3,34,3.235294117647059,2.7971014492753623,17,18,15,11,4,2,3,102.828,11.48,26.986,64.362,15.264,3.678,1.0
32,7,6,1,4,2,1,23,19,2,2,11,3,3,34,3.235294117647059,2.830769230769231,18,13,15,11,4,2,3,99.416,7.438,27.618,64.36,15.42,3.68,1.0
32,11,10,1,8,2,1,19,15,2,2,9,3,1,34,3.235294117647059,2.7846153846153845,16,17,15,10,3,2,3,96.852,11.146,21.358,64.348,14.72,3.554,1.0
32,10,9,1,7,2,1,20,16,2,2,9,2,3,34,3.235294117647059,2.8615384615384616,17,16,14,11,4,2,3,99.428,9.752,25.332,64.344,15.028,3.556,1.0
29,10,9,1,7,2,1,23,19,2,2,11,3,3,34,3.235294117647059,2.7941176470588234,18,16,15,11,4,2,3,100.944,9.772,26.832,64.34,15.142,3.744,1.0
33,9,8,1,6,2,1,20,16,2,2,9,2,3,34,3.235294117647059,2.859375,17,16,13,11,4,2,3,98.37,8.452,25.586,64.332,15.01,3.614,1.0
31,10,9,1,7,2,1,21,17,2,2,11,3,1,34,3.235294117647059,2.727272727272727,18,17,14,10,3,2,3,96.424,9.586,22.53,64.308,14.874,3.552,1.0
27,11,10,1,8,2,1,24,20,2,2,12,3,3,34,3.235294117647059,2.757142857142857,19,17,15,11,4,2,3,102.062,10.248,27.51,64.304,15.632,3.764,1.0
29,12,11,1,9,2,1,21,17,2,2,10,3,2,34,3.235294117647059,2.7794117647058822,17,18,15,10,4,2,3,100.566,11.74,24.524,64.302,15.28,3.654,1.0
27,12,11,1,9,2,1,23,19,2,2,12,2,3,34,3.235294117647059,2.742857142857143,19,18,14,11,4,2,3,101.652,11.156,26.196,64.3,15.22,3.698,1.0
31,12,11,1,9,2,1,19,15,2,2,8,3,2,34,3.235294117647059,2.8181818181818183,17,17,15,11,3,2,3,99.154,11.738,23.118,64.298,14.876,3.524,1.0
29,10,9,1,7,2,1,23,19,2,2,11,3,3,34,3.235294117647059,2.7941176470588234,18,16,15,11,4,2,3,101.036,10.056,26.694,64.286,15.488,3.638,1.0
27,12,11,1,9,2,1,23,19,2,2,11,3,3,34,3.235294117647059,2.7714285714285714,18,18,15,11,4,2,3,102.196,10.846,27.064,64.286,15.594,3.64,1.0
28,11,10,1,8,2,1,23,19,2,2,12,2,3,34,3.235294117647059,2.739130434782609,19,18,13,11,4,2,3,100.188,10.286,25.626,64.276,15.114,3.65,1.0
27,11,10,1,8,2,1,24,20,2,2,12,3,3,34,3.235294117647059,2.742857142857143,19,18,14,11,4,2,3,102.32,10.274,27.778,64.268,15.042,3.63,1.0
31,9,8,1,6,2,1,22,18,2,2,11,2,3,34,3.235294117647059,2.772727272727273,19,15,13,11,4,2,3,98.174,8.296,25.614,64.264,15.614,3.614,1.0
27,12,11,1,9,2,1,23,19,2,2,11,3,3,34,3.235294117647059,2.7714285714285714,18,18,15,11,4,2,3,102.818,11.382,27.176,64.26,15.502,3.632,1.0
29,12,11,1,9,2,1,21,17,2,2,9,3,3,34,3.235294117647059,2.8088235294117645,17,17,15,11,4,2,3,101.43,11.016,26.156,64.258,15.52,3.674,1.0
28,12,11,1,9,2,1,22,18,2,2,11,3,2,34,3.235294117647059,2.7246376811594204,19,17,15,11,3,2,3,100.028,11.848,23.924,64.256,14.986,3.65,1.0
30,12,11,1,9,2,1,20,16,2,2,9,3,2,34,3.235294117647059,2.7761194029850746,17,17,15,11,3,2,3,98.756,11.33,23.172,64.254,14.742,3.598,1.0
29,10,9,1,7,2,1,23,19,2,2,12,2,3,34,3.235294117647059,2.764705882352941,19,16,14,11,4,2,3,100.284,10.022,26.008,64.254,15.182,3.592,1.0
32,11,10,1,8,2,1,19,15,2,2,9,2,2,34,3.235294117647059,2.8,17,16,14,10,4,2,3,97.948,11.642,22.058,64.248,14.41,3.58,1.0
30,11,10,1,8,2,1,21,17,2,2,9,3,3,34,3.235294117647059,2.8358208955223883,16,17,15,11,4,2,3,101.254,10.64,26.366,64.248,15.1,3.65,1.0
33,10,9,1,7,2,1,19,15,2,2,10,1,2,34,3.235294117647059,2.765625,17,17,12,11,3,2,3,94.636,9.53,20.866,64.24,15.016,3.51,1.0
33,9,8,1,6,2,1,20,16,2,2,9,3,2,34,3.235294117647059,2.84375,16,15,15,10,4,2,3,97.99,9.438,24.318,64.234,14.792,3.54,1.0
29,11,10,1,8,2,1,22,18,2,2,11,2,3,34,3.235294117647059,2.764705882352941,18,18,13,11,4,2,3,99.68,10.028,25.428,64.224,15.09,3.593186372745491,0.998
32,9,8,1,6,2,1,21,17,2,2,10,3,2,34,3.235294117647059,2.8,17,15,15,11,3,2,3,97.464,9.158,24.088,64.218,15.084,3.65,1.0
28,10,9,1,7,2,1,24,20,2,2,12,3,3,34,3.235294117647059,2.7681159420289854,19,16,15,11,4,2,3,101.488,9.822,27.456,64.21,15.512,3.67,1.0
28,12,11,1,9,2,1,22,18,2,2,11,3,2,34,3.235294117647059,2.739130434782609,18,18,15,11,3,2,3,100.106,11.506,24.4,64.2,15.028,3.608,1.0
32,11,10,1,8,2,1,19,15,2,2,8,3,2,34,3.235294117647059,2.830769230769231,16,16,15,10,4,2,3,98.394,11.0,23.198,64.196,15.072,3.488,1.0
30,11,10,1,8,2,1,21,17,2,2,10,2,3,34,3.235294117647059,2.8208955223880596,18,17,14,11,4,2,3,100.608,10.976,25.442,64.19,15.078,3.598,1.0
28,12,11,1,9,2,1,22,18,2,2,11,3,2,34,3.235294117647059,2.739130434782609,18,18,15,11,3,2,3,99.77,11.484,24.096,64.19,14.682,3.622,1.0
29,12,11,1,9,2,1,21,17,2,2,9,3,3,34,3.235294117647059,2.823529411764706,16,18,15,11,4,2,3,102.526,11.534,26.804,64.188,15.448,3.574,1.0
28,12,11,1,9,2,1,22,18,2,2,12,2,2,34,3.235294117647059,2.710144927536232,19,18,14,11,3,2,3,98.666,11.432,23.052,64.182,15.138,3.616,1.0
29,12,11,1,9,2,1,21,17,2,2,10,2,3,34,3.235294117647059,2.8088235294117645,17,17,15,11,4,2,3,102.216,11.812,26.226,64.178,15.146,3.595190380761523,0.998
