lands,ramp,rock_ramp,land_ramp,ramp_1,ramp_2,ramp_3,draw,immediate_draw,turn_draw,cast_draw,draw_1,draw_2,draw_3,value,value_cmc,curve,cmc_1,cmc_2,cmc_3,cmc_4,cmc_5,cmc_6,cmc_7+,total_mana_spent,ramp_mana_spent,draw_mana_spent,nonramp_nondraw_mana_spent,high_cmc_mana_spent,avg_commander_cast_turn,commander_cast_rate
42,6,3,3,3,3,0,7,4,3,0,0,3,1,44,3.090909090909091,2.9827586206896552,8,20,12,8,6,3,1,30.942,2.668,3.176,25.098,0.936,3.6392785571142285,0.998
42,6,3,3,1,5,0,7,3,4,0,0,1,1,44,3.090909090909091,3.086206896551724,7,19,13,8,6,4,1,31.758,3.148,3.514,25.096,0.72,3.791164658634538,0.996
43,4,0,4,1,3,0,8,3,4,1,0,3,0,44,3.090909090909091,3.0701754385964914,8,17,14,7,6,4,1,31.53,2.14,4.312,25.078,0.576,3.929859719438878,0.998
39,6,4,2,2,4,0,10,4,5,1,0,3,1,44,3.090909090909091,3.0491803278688523,7,21,14,8,6,4,1,33.416,3.406,4.946,25.064,1.062,3.885311871227364,0.994
39,6,4,2,4,2,0,10,3,6,1,0,1,2,44,3.090909090909091,2.9672131147540983,10,20,12,8,6,4,1,32.544,2.71,4.774,25.06,0.828,3.6875,0.992
39,6,3,3,1,5,0,10,5,5,0,0,2,3,44,3.090909090909091,3.0327868852459017,8,19,14,10,6,3,1,33.328,3.16,5.116,25.052,0.99,3.82020202020202,0.99
37,6,3,3,3,3,0,12,6,5,1,0,3,2,44,3.090909090909091,2.9682539682539684,10,21,14,6,6,5,1,34.004,2.948,6.014,25.042,0.954,3.7959595959595958,0.99
43,4,3,1,2,2,0,8,3,5,0,0,3,0,44,3.090909090909091,2.9649122807017543,8,20,12,7,6,3,1,29.996,1.834,3.122,25.04,0.486,3.7334669338677355,0.998
41,6,4,2,4,2,0,8,1,6,1,0,1,0,44,3.090909090909091,2.9661016949152543,9,21,11,7,6,4,1,31.158,2.354,3.77,25.034,0.684,3.6431451612903225,0.992
42,5,4,1,3,2,0,8,3,5,0,0,1,1,44,3.090909090909091,3.0172413793103448,8,20,12,7,6,4,1,31.298,2.536,3.734,25.028,0.774,3.6781376518218623,0.988
