lands,ramp,rock_ramp,land_ramp,ramp_1,ramp_2,ramp_3,draw,immediate_draw,turn_draw,cast_draw,draw_1,draw_2,draw_3,value,value_cmc,curve,cmc_1,cmc_2,cmc_3,cmc_4,cmc_5,cmc_6,cmc_7+,total_mana_spent,ramp_mana_spent,draw_mana_spent,nonramp_nondraw_mana_spent,high_cmc_mana_spent,avg_commander_cast_turn,commander_cast_rate
46,18,17,1,6,9,3,1,0,0,1,0,0,0,34,6.088235294117647,5.12962962962963,3,8,7,8,4,5,17,43.162,8.739,0.584,33.839,24.923,6.869512195121951,0.82
47,16,15,1,8,6,2,2,0,1,1,0,0,0,34,6.0,5.0,3,10,6,7,4,3,18,42.088,7.179,1.072,33.837,25.522,7.059119496855346,0.795
42,19,18,1,8,7,4,1,0,1,0,0,0,0,37,6.405405405405405,5.362068965517241,3,10,6,6,5,5,21,43.214,8.76,0.62,33.834,25.917,7.024,0.75
41,17,16,1,5,8,4,3,0,2,1,0,0,0,38,6.447368421052632,5.52542372881356,3,7,7,7,5,8,20,44.477,8.597,2.046,33.834,24.42,6.9589603283173735,0.731
42,20,18,2,7,9,4,2,0,2,0,0,0,0,35,6.285714285714286,5.293103448275862,3,9,7,6,5,7,19,45.449,10.337,1.282,33.83,25.915,6.8861386138613865,0.808
47,17,15,2,8,5,4,2,0,1,1,0,0,0,33,5.878787878787879,4.981132075471698,3,9,7,6,4,6,16,43.489,8.4,1.264,33.825,24.269,6.991535671100363,0.827
38,21,19,2,7,9,5,2,0,1,1,0,0,0,38,6.2105263157894735,5.32258064516129,3,9,6,10,5,8,20,45.988,11.087,1.092,33.809,24.959,6.946737683089214,0.751
40,21,18,3,6,11,4,2,0,1,1,0,0,0,36,6.416666666666667,5.433333333333334,3,7,7,9,5,7,20,46.159,11.247,1.104,33.808,25.817,6.977777777777778,0.765
39,22,21,1,9,9,4,1,0,0,1,0,0,0,37,6.081081081081081,5.065573770491803,3,11,6,8,5,7,19,44.165,9.886,0.472,33.807,24.212,6.921832884097035,0.742
39,18,17,1,8,8,2,2,0,1,1,0,0,0,40,6.225,5.245901639344262,3,10,6,8,4,7,21,42.734,7.776,1.154,33.804,23.705,7.1741741741741745,0.666
44,19,17,2,8,8,3,1,0,0,1,0,0,0,35,6.0,5.089285714285714,3,9,7,6,5,7,17,43.337,8.969,0.564,33.804,23.847,6.994791666666667,0.768
38,20,19,1,6,9,5,3,0,2,1,0,0,0,38,6.2105263157894735,5.32258064516129,3,8,6,9,5,9,20,45.727,10.053,1.87,33.804,24.905,6.944594594594594,0.74
38,20,18,2,7,10,3,1,0,0,1,0,0,0,40,6.625,5.516129032258065,3,9,7,8,5,6,22,43.746,9.417,0.532,33.797,24.266,6.858420268256334,0.671
35,25,24,1,9,11,5,3,0,2,1,0,0,0,36,6.361111111111111,5.2153846153846155,3,11,6,10,5,9,19,48.204,12.585,1.828,33.791,25.286,6.676623376623376,0.77
44,16,15,1,6,7,3,2,0,1,1,0,0,0,37,6.513513513513513,5.5,3,8,6,8,4,5,20,42.795,7.78,1.232,33.783,24.77,7.029530201342282,0.745
39,22,20,2,8,10,4,1,0,0,1,0,0,0,37,6.297297297297297,5.245901639344262,3,10,7,7,5,8,19,45.026,10.657,0.588,33.781,24.437,6.8931398416886545,0.758
38,20,18,2,7,9,4,3,0,2,1,0,0,0,38,6.2631578947368425,5.354838709677419,3,9,6,7,5,11,19,45.891,10.169,1.952,33.77,23.888,6.928,0.75
37,21,18,3,8,9,4,2,0,1,1,0,0,0,39,6.358974358974359,5.349206349206349,3,9,7,8,5,9,20,45.487,10.682,1.036,33.769,23.56,6.918079096045198,0.708
38,20,18,2,10,6,4,3,0,2,1,0,0,0,38,6.342105263157895,5.241935483870968,3,11,7,7,4,7,21,44.909,9.238,1.904,33.767,25.598,6.922865013774104,0.726
37,23,21,2,8,12,3,3,0,2,1,0,0,0,36,6.444444444444445,5.301587301587301,3,10,6,10,5,7,20,47.455,11.678,2.038,33.739,25.879,6.935897435897436,0.78
39,17,15,2,4,9,4,3,0,2,1,0,0,0,40,6.6,5.704918032786885,3,6,6,9,5,7,23,44.195,8.61,1.86,33.725,25.413,7.1114413075780085,0.673
41,20,18,2,9,7,4,2,0,1,1,0,0,0,36,6.25,5.237288135593221,3,10,7,6,4,8,19,44.885,9.784,1.376,33.725,24.971,6.881971465629054,0.771
46,17,15,2,6,8,3,2,0,1,1,0,0,0,34,6.176470588235294,5.296296296296297,3,7,7,7,4,6,18,43.88,8.965,1.192,33.723,25.368,6.99384236453202,0.812
45,18,17,1,8,6,4,2,0,1,1,0,0,0,34,6.0588235294117645,5.090909090909091,3,10,6,6,5,5,18,43.623,8.793,1.112,33.718,25.232,6.918471337579618,0.785
43,19,18,1,6,9,4,1,0,1,0,0,0,0,36,6.138888888888889,5.2105263157894735,3,8,6,9,5,7,17,43.622,9.273,0.636,33.713,23.229,6.860377358490566,0.795
39,18,17,1,6,8,4,3,0,2,1,0,0,0,39,6.384615384615385,5.459016393442623,3,9,6,6,5,9,21,44.584,8.991,1.884,33.709,24.289,7.03056768558952,0.687
45,18,16,2,7,7,4,1,0,0,1,0,0,0,35,6.228571428571429,5.3090909090909095,3,8,6,7,5,6,18,43.309,9.079,0.524,33.706,24.393,6.923173803526448,0.794
36,23,21,2,9,10,4,2,0,1,1,0,0,0,38,6.368421052631579,5.265625,3,11,6,9,4,9,20,45.827,11.107,1.016,33.704,24.45,6.872881355932203,0.708
38,22,19,3,9,9,4,1,0,0,1,0,0,0,38,6.2105263157894735,5.209677419354839,3,10,7,7,5,9,19,45.097,10.864,0.536,33.697,23.741,6.906030855539972,0.713
44,18,15,3,9,6,3,2,0,1,1,0,0,0,35,5.9714285714285715,5.089285714285714,3,9,7,6,4,8,17,44.186,9.25,1.24,33.696,24.191,7.001280409731114,0.781
43,18,16,2,6,8,4,2,0,1,1,0,0,0,36,6.194444444444445,5.350877192982456,3,7,7,7,4,10,17,44.529,9.435,1.404,33.69,23.093,7.035897435897436,0.78
34,21,20,1,8,8,5,3,0,2,1,0,0,0,41,6.365853658536586,5.378787878787879,3,10,6,8,5,10,22,45.088,9.665,1.734,33.689,24.511,6.912844036697248,0.654
43,19,17,2,8,9,2,2,0,1,1,0,0,0,35,5.857142857142857,4.947368421052632,3,10,6,8,4,7,17,44.207,9.355,1.168,33.684,23.604,7.011553273427471,0.779
